scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_baseline,expected_proposed,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,1,proposed-20260814T043214Z,A01-r001,200,allow,allow,true,38.169700,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,2,proposed-20260814T043214Z,A01-r002,200,allow,allow,true,15.312100,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,3,proposed-20260814T043214Z,A01-r003,200,allow,allow,true,16.071300,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,4,proposed-20260814T043214Z,A01-r004,200,allow,allow,true,15.985200,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,5,proposed-20260814T043214Z,A01-r005,200,allow,allow,true,15.043700,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,6,proposed-20260814T043214Z,A01-r006,200,allow,allow,true,14.410900,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,7,proposed-20260814T043214Z,A01-r007,200,allow,allow,true,14.226000,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,8,proposed-20260814T043214Z,A01-r008,200,allow,allow,true,13.997200,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,9,proposed-20260814T043214Z,A01-r009,200,allow,allow,true,14.097500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,10,proposed-20260814T043214Z,A01-r010,200,allow,allow,true,13.570700,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,11,proposed-20260814T043214Z,A01-r011,200,allow,allow,true,14.393500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,12,proposed-20260814T043214Z,A01-r012,200,allow,allow,true,13.780100,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,13,proposed-20260814T043214Z,A01-r013,200,allow,allow,true,13.558900,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,14,proposed-20260814T043214Z,A01-r014,200,allow,allow,true,13.517800,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,15,proposed-20260814T043214Z,A01-r015,200,allow,allow,true,13.900600,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,16,proposed-20260814T043214Z,A01-r016,200,allow,allow,true,13.837200,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,17,proposed-20260814T043214Z,A01-r017,200,allow,allow,true,14.225100,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,18,proposed-20260814T043214Z,A01-r018,200,allow,allow,true,13.752300,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,19,proposed-20260814T043214Z,A01-r019,200,allow,allow,true,14.205600,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,20,proposed-20260814T043214Z,A01-r020,200,allow,allow,true,13.654100,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,21,proposed-20260814T043214Z,A01-r021,200,allow,allow,true,14.278600,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,22,proposed-20260814T043214Z,A01-r022,200,allow,allow,true,14.360500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,23,proposed-20260814T043214Z,A01-r023,200,allow,allow,true,14.996600,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,24,proposed-20260814T043214Z,A01-r024,200,allow,allow,true,14.514500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,25,proposed-20260814T043214Z,A01-r025,200,allow,allow,true,14.496300,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,26,proposed-20260814T043214Z,A01-r026,200,allow,allow,true,14.268700,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,27,proposed-20260814T043214Z,A01-r027,200,allow,allow,true,14.602700,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,28,proposed-20260814T043214Z,A01-r028,200,allow,allow,true,13.961500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,29,proposed-20260814T043214Z,A01-r029,200,allow,allow,true,14.157900,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,30,proposed-20260814T043214Z,A01-r030,200,allow,allow,true,14.702400,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,1,proposed-20260814T043214Z,A02-r001,200,allow,allow,true,21.395900,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,2,proposed-20260814T043214Z,A02-r002,200,allow,allow,true,16.726000,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,3,proposed-20260814T043214Z,A02-r003,200,allow,allow,true,16.862400,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,4,proposed-20260814T043214Z,A02-r004,200,allow,allow,true,16.970700,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,5,proposed-20260814T043214Z,A02-r005,200,allow,allow,true,16.059400,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,proposed,6,proposed-20260814T043214Z,A02-r006,200,allow,allow,true,16.063400,
