scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_broad_policy,expected_finegrained_policy,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,24,policy_only-20260814T154448Z,A01-r024,200,allow,allow,true,16.307100,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,25,policy_only-20260814T154448Z,A01-r025,200,allow,allow,true,14.265400,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,26,policy_only-20260814T154448Z,A01-r026,200,allow,allow,true,14.424300,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,27,policy_only-20260814T154448Z,A01-r027,200,allow,allow,true,15.414900,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,28,policy_only-20260814T154448Z,A01-r028,200,allow,allow,true,15.203100,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,29,policy_only-20260814T154448Z,A01-r029,200,allow,allow,true,13.965500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,30,policy_only-20260814T154448Z,A01-r030,200,allow,allow,true,14.321700,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,1,policy_only-20260814T154448Z,A02-r001,200,allow,allow,true,19.632300,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,2,policy_only-20260814T154448Z,A02-r002,200,allow,allow,true,15.383200,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,3,policy_only-20260814T154448Z,A02-r003,200,allow,allow,true,15.165200,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,4,policy_only-20260814T154448Z,A02-r004,200,allow,allow,true,15.889800,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,5,policy_only-20260814T154448Z,A02-r005,200,allow,allow,true,15.976700,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,6,policy_only-20260814T154448Z,A02-r006,200,allow,allow,true,15.974500,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,7,policy_only-20260814T154448Z,A02-r007,200,allow,allow,true,17.542900,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,8,policy_only-20260814T154448Z,A02-r008,200,allow,allow,true,15.739500,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,9,policy_only-20260814T154448Z,A02-r009,200,allow,allow,true,15.756000,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,10,policy_only-20260814T154448Z,A02-r010,200,allow,allow,true,16.285200,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,11,policy_only-20260814T154448Z,A02-r011,200,allow,allow,true,34.329300,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,12,policy_only-20260814T154448Z,A02-r012,200,allow,allow,true,16.412700,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,13,policy_only-20260814T154448Z,A02-r013,200,allow,allow,true,16.663200,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,14,policy_only-20260814T154448Z,A02-r014,200,allow,allow,true,18.961300,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,15,policy_only-20260814T154448Z,A02-r015,200,allow,allow,true,17.570400,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,16,policy_only-20260814T154448Z,A02-r016,200,allow,allow,true,18.533300,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,17,policy_only-20260814T154448Z,A02-r017,200,allow,allow,true,16.130600,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,18,policy_only-20260814T154448Z,A02-r018,200,allow,allow,true,17.751300,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,19,policy_only-20260814T154448Z,A02-r019,200,allow,allow,true,17.455700,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,20,policy_only-20260814T154448Z,A02-r020,200,allow,allow,true,15.820100,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,21,policy_only-20260814T154448Z,A02-r021,200,allow,allow,true,16.151600,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,22,policy_only-20260814T154448Z,A02-r022,200,allow,allow,true,17.533500,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,23,policy_only-20260814T154448Z,A02-r023,200,allow,allow,true,15.927000,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,24,policy_only-20260814T154448Z,A02-r024,200,allow,allow,true,16.587800,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,25,policy_only-20260814T154448Z,A02-r025,200,allow,allow,true,16.785700,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,26,policy_only-20260814T154448Z,A02-r026,200,allow,allow,true,15.822100,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,27,policy_only-20260814T154448Z,A02-r027,200,allow,allow,true,17.917400,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,28,policy_only-20260814T154448Z,A02-r028,200,allow,allow,true,15.914100,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,29,policy_only-20260814T154448Z,A02-r029,200,allow,allow,true,17.670500,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,30,policy_only-20260814T154448Z,A02-r030,200,allow,allow,true,17.339700,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,1,policy_only-20260814T154448Z,A03-r001,200,allow,allow,true,19.513600,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,2,policy_only-20260814T154448Z,A03-r002,200,allow,allow,true,16.556100,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,3,policy_only-20260814T154448Z,A03-r003,200,allow,allow,true,17.123800,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,4,policy_only-20260814T154448Z,A03-r004,200,allow,allow,true,16.390600,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,5,policy_only-20260814T154448Z,A03-r005,200,allow,allow,true,17.021300,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,6,policy_only-20260814T154448Z,A03-r006,200,allow,allow,true,17.908000,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,7,policy_only-20260814T154448Z,A03-r007,200,allow,allow,true,17.456200,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,8,policy_only-20260814T154448Z,A03-r008,200,allow,allow,true,16.734700,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,9,policy_only-20260814T154448Z,A03-r009,200,allow,allow,true,16.192100,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,10,policy_only-20260814T154448Z,A03-r010,200,allow,allow,true,15.969600,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,11,policy_only-20260814T154448Z,A03-r011,200,allow,allow,true,17.288200,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,12,policy_only-20260814T154448Z,A03-r012,200,allow,allow,true,16.808600,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,13,policy_only-20260814T154448Z,A03-r013,200,allow,allow,true,17.046000,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,14,policy_only-20260814T154448Z,A03-r014,200,allow,allow,true,16.913200,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,15,policy_only-20260814T154448Z,A03-r015,200,allow,allow,true,16.659000,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,16,policy_only-20260814T154448Z,A03-r016,200,allow,allow,true,17.450300,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,17,policy_only-20260814T154448Z,A03-r017,200,allow,allow,true,16.953100,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,18,policy_only-20260814T154448Z,A03-r018,200,allow,allow,true,17.860300,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,19,policy_only-20260814T154448Z,A03-r019,200,allow,allow,true,19.338800,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,20,policy_only-20260814T154448Z,A03-r020,200,allow,allow,true,17.965900,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,21,policy_only-20260814T154448Z,A03-r021,200,allow,allow,true,17.833200,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,22,policy_only-20260814T154448Z,A03-r022,200,allow,allow,true,19.329000,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,23,policy_only-20260814T154448Z,A03-r023,200,allow,allow,true,18.591500,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,24,policy_only-20260814T154448Z,A03-r024,200,allow,allow,true,18.895900,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,25,policy_only-20260814T154448Z,A03-r025,200,allow,allow,true,17.835400,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,26,policy_only-20260814T154448Z,A03-r026,200,allow,allow,true,17.786800,
A03,call,loan,loan,aml,POST,/aml-screening,request_aml_screening,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,policy_only,27,policy_only-20260814T154448Z,A03-r027,200,allow,allow,true,16.691900,
