mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
proposed,policyspace-proposed-20260818T021831Z,PS-approval-loan-loan_approver-loan_screening,approval,loan,loan_approver,loan_screening,/loan-review/CASE-0001,GET,403,deny,6.204300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-approval-loan-loan_reviewer-loan_approval,approval,loan,loan_reviewer,loan_approval,/loan-review/CASE-0001,GET,403,deny,7.103200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-approval-loan-loan_reviewer-loan_screening,approval,loan,loan_reviewer,loan_screening,/loan-review/CASE-0001,GET,403,deny,6.928800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-aml-loan_approver-loan_approval,credit,aml,loan_approver,loan_approval,/aml-screening,POST,403,deny,9.744200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-aml-loan_approver-loan_screening,credit,aml,loan_approver,loan_screening,/aml-screening,POST,403,deny,7.367500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-aml-loan_reviewer-loan_approval,credit,aml,loan_reviewer,loan_approval,/aml-screening,POST,403,deny,5.722000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-aml-loan_reviewer-loan_screening,credit,aml,loan_reviewer,loan_screening,/aml-screening,POST,403,deny,8.653300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-approval-loan_approver-loan_approval,credit,approval,loan_approver,loan_approval,/approval-requests,POST,403,deny,7.040200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-approval-loan_approver-loan_screening,credit,approval,loan_approver,loan_screening,/approval-requests,POST,403,deny,11.754800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-approval-loan_reviewer-loan_approval,credit,approval,loan_reviewer,loan_approval,/approval-requests,POST,403,deny,7.734900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-approval-loan_reviewer-loan_screening,credit,approval,loan_reviewer,loan_screening,/approval-requests,POST,403,deny,5.969200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-customer-loan_approver-loan_approval,credit,customer,loan_approver,loan_approval,/customer-profile/CASE-0001,GET,403,deny,8.722900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-customer-loan_approver-loan_screening,credit,customer,loan_approver,loan_screening,/customer-profile/CASE-0001,GET,403,deny,6.920600,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260818T021831Z,PS-credit-customer-loan_reviewer-loan_approval,credit,customer,loan_reviewer,loan_approval,/customer-profile/CASE-0001,GET,403,deny,7.280200,,deny,role_purpose_action_mismatch,false
