scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_broad_policy,expected_finegrained_policy,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,segmentation_only,1,segmentation_only-20260814T155325Z,A01-r001,200,allow,allow,true,35.541100,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,segmentation_only,2,segmentation_only-20260814T155325Z,A01-r002,200,allow,allow,true,18.179300,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,segmentation_only,3,segmentation_only-20260814T155325Z,A01-r003,200,allow,allow,true,18.772600,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,segmentation_only,4,segmentation_only-20260814T155325Z,A01-r004,200,allow,allow,true,21.472100,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,segmentation_only,5,segmentation_only-20260814T155325Z,A01-r005,200,allow,allow,true,20.670000,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,segmentation_only,6,segmentation_only-20260814T155325Z,A01-r006,200,allow,allow,true,19.529300,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,segmentation_only,7,segmentation_only-20260814T155325Z,A01-r007,200,allow,allow,true,17.809500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,segmentation_only,8,segmentation_only-20260814T155325Z,A01-r008,200,allow,allow,true,20.488400,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,segmentation_only,9,segmentation_only-20260814T155325Z,A01-r009,200,allow,allow,true,19.306200,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,segmentation_only,10,segmentation_only-20260814T155325Z,A01-r010,200,allow,allow,true,18.798000,
