mode,source_asset,target_asset,source_business,target_business,source_tier,target_tier,target_port,reachable,attempts,stable,elapsed_ms,error
proposed,customer_app,customer_db,customer,customer,app,db,5432,true,3,true,1.360,
proposed,customer_app,loan_app,customer,loan,app,app,8000,false,3,true,3979.358,gaierror: [Errno -2] Name or service not known
proposed,customer_app,loan_db,customer,loan,app,db,5432,false,3,true,3985.189,gaierror: [Errno -2] Name or service not known
proposed,customer_app,credit_app,customer,credit,app,app,8000,false,3,true,3986.792,gaierror: [Errno -2] Name or service not known
proposed,customer_app,credit_db,customer,credit,app,db,5432,false,3,true,3961.878,gaierror: [Errno -2] Name or service not known
proposed,customer_app,aml_app,customer,aml,app,app,8000,false,3,true,3973.760,gaierror: [Errno -2] Name or service not known
proposed,customer_app,aml_db,customer,aml,app,db,5432,false,3,true,3955.372,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
proposed,customer_app,approval_app,customer,approval,app,app,8000,false,3,true,3977.329,gaierror: [Errno -2] Name or service not known
proposed,customer_app,approval_db,customer,approval,app,db,5432,false,3,true,3966.882,gaierror: [Errno -2] Name or service not known
proposed,customer_db,customer_app,customer,customer,db,app,8000,true,3,true,1.569,
proposed,customer_db,loan_app,customer,loan,db,app,8000,false,3,true,3967.913,gaierror: [Errno -2] Name or service not known
proposed,customer_db,loan_db,customer,loan,db,db,5432,false,3,true,3967.123,gaierror: [Errno -2] Name or service not known
proposed,customer_db,credit_app,customer,credit,db,app,8000,false,3,true,3991.195,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
proposed,customer_db,credit_db,customer,credit,db,db,5432,false,3,true,3984.506,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
proposed,customer_db,aml_app,customer,aml,db,app,8000,false,3,true,3975.727,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
proposed,customer_db,aml_db,customer,aml,db,db,5432,false,3,true,3979.294,gaierror: [Errno -2] Name or service not known
proposed,customer_db,approval_app,customer,approval,db,app,8000,false,3,true,3980.328,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
proposed,customer_db,approval_db,customer,approval,db,db,5432,false,3,true,3963.503,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
proposed,loan_app,customer_app,loan,customer,app,app,8000,false,3,true,3973.321,gaierror: [Errno -2] Name or service not known
proposed,loan_app,customer_db,loan,customer,app,db,5432,false,3,true,3983.334,gaierror: [Errno -2] Name or service not known
proposed,loan_app,loan_db,loan,loan,app,db,5432,true,3,true,0.623,
proposed,loan_app,credit_app,loan,credit,app,app,8000,false,3,true,3972.670,gaierror: [Errno -2] Name or service not known
proposed,loan_app,credit_db,loan,credit,app,db,5432,false,3,true,3969.047,gaierror: [Errno -2] Name or service not known
proposed,loan_app,aml_app,loan,aml,app,app,8000,false,3,true,3967.629,gaierror: [Errno -2] Name or service not known
proposed,loan_app,aml_db,loan,aml,app,db,5432,false,3,true,3967.024,gaierror: [Errno -2] Name or service not known
proposed,loan_app,approval_app,loan,approval,app,app,8000,false,3,true,3966.631,gaierror: [Errno -2] Name or service not known
proposed,loan_app,approval_db,loan,approval,app,db,5432,false,3,true,3968.396,gaierror: [Errno -2] Name or service not known
proposed,loan_db,customer_app,loan,customer,db,app,8000,false,3,true,3992.895,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
proposed,loan_db,customer_db,loan,customer,db,db,5432,false,3,true,3965.505,gaierror: [Errno -2] Name or service not known; gaierror: [Errno -5] No address associated with hostname
