scenario_id,entry_point,source_service,source_business,destination,method,path,action,role,device_trust,purpose,data_grade,claimed_source_service,claimed_source_business,signature_mode,violation_type,expected_baseline,expected_proposed,mode,run_id,experiment_run_id,attempt_id,status_code,actual,expected,matches_expected,latency_ms,error
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,25,baseline-20260814T012845Z,A01-r025,200,allow,allow,true,13.338100,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,26,baseline-20260814T012845Z,A01-r026,200,allow,allow,true,13.688300,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,27,baseline-20260814T012845Z,A01-r027,200,allow,allow,true,13.879500,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,28,baseline-20260814T012845Z,A01-r028,200,allow,allow,true,13.924400,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,29,baseline-20260814T012845Z,A01-r029,200,allow,allow,true,14.745800,
A01,call,loan,loan,customer,GET,/customer-profile/CASE-0001,read_customer_profile,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,30,baseline-20260814T012845Z,A01-r030,200,allow,allow,true,13.715600,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,1,baseline-20260814T012845Z,A02-r001,200,allow,allow,true,22.994600,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,2,baseline-20260814T012845Z,A02-r002,200,allow,allow,true,16.449600,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,3,baseline-20260814T012845Z,A02-r003,200,allow,allow,true,16.356400,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,4,baseline-20260814T012845Z,A02-r004,200,allow,allow,true,17.846800,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,5,baseline-20260814T012845Z,A02-r005,200,allow,allow,true,16.878400,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,6,baseline-20260814T012845Z,A02-r006,200,allow,allow,true,17.264000,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,7,baseline-20260814T012845Z,A02-r007,200,allow,allow,true,17.366000,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,8,baseline-20260814T012845Z,A02-r008,200,allow,allow,true,17.688800,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,9,baseline-20260814T012845Z,A02-r009,200,allow,allow,true,16.329300,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,10,baseline-20260814T012845Z,A02-r010,200,allow,allow,true,17.014100,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,11,baseline-20260814T012845Z,A02-r011,200,allow,allow,true,15.605000,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,12,baseline-20260814T012845Z,A02-r012,200,allow,allow,true,15.236400,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,13,baseline-20260814T012845Z,A02-r013,200,allow,allow,true,15.986900,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,14,baseline-20260814T012845Z,A02-r014,200,allow,allow,true,18.235900,
A02,call,loan,loan,credit,POST,/credit-assessment,request_credit_assessment,loan_reviewer,trusted,loan_screening,S,,,,,allow,allow,baseline,15,baseline-20260814T012845Z,A02-r015,200,allow,allow,true,19.315600,
