mode,experiment_run_id,flow,batch_id,request_id,status_code,latency_ms,error
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,70,200,14.437300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,71,200,14.394800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,72,200,14.387300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,73,200,14.231300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,74,200,14.460500,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,75,200,14.517200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,76,200,14.357900,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,77,200,13.714000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,78,200,14.020400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,79,200,14.034400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,80,200,15.573500,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,81,200,15.304700,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,82,200,14.588600,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,83,200,14.655400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,84,200,13.492100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,85,200,14.317200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,86,200,13.893200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,87,200,13.798700,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,88,200,14.341200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,89,200,14.220800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,90,200,14.301700,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,91,200,14.611400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,92,200,14.211300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,93,200,13.722100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,94,200,14.317200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,95,200,14.593800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,96,200,13.946500,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,97,200,14.123700,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,98,200,14.355000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,99,200,13.934100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,100,200,13.740800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,101,200,14.066900,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,102,200,13.889100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,103,200,14.851700,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,104,200,14.447300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,105,200,14.876000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,106,200,15.043200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,107,200,14.879800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,108,200,14.263100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,109,200,14.097200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,110,200,14.021200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,111,200,13.810700,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,112,200,13.921500,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,113,200,14.515900,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,114,200,14.067400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,115,200,14.328400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,116,200,14.091500,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,117,200,14.464800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,118,200,14.586100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,119,200,14.270000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,120,200,13.846900,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,121,200,14.723400,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,122,200,13.600300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,123,200,14.366100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,124,200,13.880100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,125,200,14.095900,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,126,200,13.870500,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,127,200,13.939900,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,128,200,13.813200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,129,200,14.447300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,130,200,14.264000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,131,200,14.164700,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,132,200,14.266700,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,133,200,14.403200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,134,200,14.058800,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,135,200,14.347200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,136,200,14.667000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,137,200,14.432000,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,138,200,13.942100,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,139,200,14.013200,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,140,200,13.904600,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,141,200,14.022500,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,142,200,14.337300,
baseline,perf-baseline-20260814T012935Z,loan_to_customer,1,143,200,14.461300,
