mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
baseline,policyspace-baseline-20260818T014436Z,PS-approval-loan-loan_approver-loan_screening,approval,loan,loan_approver,loan_screening,/loan-review/CASE-0001,GET,200,allow,14.415800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-loan-loan_reviewer-loan_approval,approval,loan,loan_reviewer,loan_approval,/loan-review/CASE-0001,GET,200,allow,13.953600,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-approval-loan-loan_reviewer-loan_screening,approval,loan,loan_reviewer,loan_screening,/loan-review/CASE-0001,GET,200,allow,14.068200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-aml-loan_approver-loan_approval,credit,aml,loan_approver,loan_approval,/aml-screening,POST,200,allow,41.787800,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-aml-loan_approver-loan_screening,credit,aml,loan_approver,loan_screening,/aml-screening,POST,200,allow,15.586300,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-aml-loan_reviewer-loan_approval,credit,aml,loan_reviewer,loan_approval,/aml-screening,POST,200,allow,14.854400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-aml-loan_reviewer-loan_screening,credit,aml,loan_reviewer,loan_screening,/aml-screening,POST,200,allow,15.198200,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-approval-loan_approver-loan_approval,credit,approval,loan_approver,loan_approval,/approval-requests,POST,200,allow,15.083100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-approval-loan_approver-loan_screening,credit,approval,loan_approver,loan_screening,/approval-requests,POST,200,allow,14.890100,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-approval-loan_reviewer-loan_approval,credit,approval,loan_reviewer,loan_approval,/approval-requests,POST,200,allow,14.809400,,allow,baseline_broad_authenticated_access,false
baseline,policyspace-baseline-20260818T014436Z,PS-credit-approval-loan_reviewer-loan_screening,credit,approval,loan_reviewer,loan_screening,/approval-requests,POST,200,allow,14.859100,,allow,baseline_broad_authenticated_access,false
