flow,batch_id,decision_ms_median,total_ms_median,n,mode
loan_to_aml,1,1.1965129999964574,11.279066499980672,200,baseline
loan_to_aml,2,1.1863445000130923,11.335656500023106,200,baseline
loan_to_aml,3,1.1740854999970907,11.222538499993107,200,baseline
loan_to_aml,4,1.1777285000391657,11.208049999993364,200,baseline
loan_to_aml,5,1.2259630000244215,11.52426600000922,200,baseline
loan_to_aml,6,1.2030225000216888,11.314615000003414,200,baseline
loan_to_aml,7,1.1755539999853681,11.304509500007498,200,baseline
loan_to_aml,8,1.2179044999811595,11.346095000021705,200,baseline
loan_to_aml,9,1.2556875000768741,11.77424349998546,200,baseline
loan_to_aml,10,1.255747000016072,11.69883199997912,200,baseline
loan_to_aml,11,1.2100689999670067,11.591589500028476,200,baseline
loan_to_aml,12,1.2063799999850744,11.414133500011303,200,baseline
loan_to_aml,13,1.2234859999580294,11.482642999965265,200,baseline
loan_to_aml,14,1.2421764999430707,11.601905500072007,200,baseline
loan_to_aml,15,1.2399614999480946,11.579666999978144,200,baseline
loan_to_aml,16,1.213128999950186,11.515631500003565,200,baseline
loan_to_aml,17,1.2194564999958857,11.560685999995712,200,baseline
loan_to_aml,18,1.2216425000133313,11.542630000008103,200,baseline
loan_to_aml,19,1.2232020000055854,11.504195999975764,200,baseline
loan_to_aml,20,1.21680899991361,11.426351499949305,200,baseline
loan_to_aml,21,1.203024500000538,11.352255999952376,200,baseline
loan_to_aml,22,1.228564000030019,11.558874499996818,200,baseline
loan_to_aml,23,1.2574964999885196,11.702998500027206,200,baseline
loan_to_aml,24,1.215319999971598,11.504425499992976,200,baseline
loan_to_aml,25,1.202175499997793,11.344046499971228,200,baseline
loan_to_aml,26,1.2027715000044736,11.443017999908989,200,baseline
loan_to_aml,27,1.2088564999999107,11.332978500036006,200,baseline
loan_to_aml,28,1.1874814999828232,11.339079000038055,200,baseline
loan_to_aml,29,1.196213000014268,11.409005000018624,200,baseline
loan_to_aml,30,1.2662305000503693,11.857183999950394,200,baseline
loan_to_approval,1,1.2159070000734573,11.45072950004078,200,baseline
loan_to_approval,2,1.2427235000131986,11.540877500067381,200,baseline
loan_to_approval,3,1.216816999999537,11.398140500034515,200,baseline
loan_to_approval,4,1.220133000003898,11.312977500040233,200,baseline
loan_to_approval,5,1.2052585000219551,11.394302499979858,200,baseline
loan_to_approval,6,1.2597935000258076,11.762910500067392,200,baseline
loan_to_approval,7,1.216661999990265,11.365480499989644,200,baseline
loan_to_approval,8,1.2036305000151515,11.343479000004209,200,baseline
loan_to_approval,9,1.200287000017397,11.399624500029404,200,baseline
loan_to_approval,10,1.1981530000753082,11.395572999902015,200,baseline
loan_to_approval,11,1.2037175000045863,11.368733500034978,200,baseline
loan_to_approval,12,1.2140714999873126,11.32509899997558,200,baseline
loan_to_approval,13,1.20561850002332,11.407093499940402,200,baseline
loan_to_approval,14,1.2032230000045274,11.336967000033837,200,baseline
loan_to_approval,15,1.2195814999813592,11.515024499942683,200,baseline
loan_to_approval,16,1.2289929999838023,11.57411549996823,200,baseline
loan_to_approval,17,1.2409820000129912,11.405401999979858,200,baseline
loan_to_approval,18,1.2194630000408324,11.48694949995388,200,baseline
loan_to_approval,19,1.248024999995323,11.78427399992188,200,baseline
loan_to_approval,20,1.2093084999378334,11.546233499984737,200,baseline
loan_to_approval,21,1.2481955000112066,11.654759000009562,200,baseline
loan_to_approval,22,1.2197010000249975,11.58577499995772,200,baseline
loan_to_approval,23,1.2000160000411597,11.343196499979058,200,baseline
loan_to_approval,24,1.193365000005997,11.366646499993749,200,baseline
loan_to_approval,25,1.2126484999726017,11.352220499986743,200,baseline
loan_to_approval,26,1.1841429999321917,11.294587999998384,200,baseline
loan_to_approval,27,1.1962114999732876,11.327278999942791,200,baseline
loan_to_approval,28,1.206901500040658,11.423104999948919,200,baseline
loan_to_approval,29,1.2175450000313504,11.392979499987632,200,baseline
loan_to_approval,30,1.2370889999715473,11.45259800000531,200,baseline
loan_to_credit,1,1.3070204999792168,11.900167500016323,200,baseline
loan_to_credit,2,1.2546540000073492,11.561706999970056,200,baseline
loan_to_credit,3,1.2397829999883925,11.408589500007338,200,baseline
loan_to_credit,4,1.221410000027845,11.431350500032522,200,baseline
loan_to_credit,5,1.2097930000152246,11.497620999989522,200,baseline
loan_to_credit,6,1.2704070000211232,11.639159500020924,200,baseline
loan_to_credit,7,1.2313249999920117,11.576115999986314,200,baseline
loan_to_credit,8,1.2088690000098268,11.464701999983617,200,baseline
loan_to_credit,9,1.2183210000102918,11.710080499995001,200,baseline
loan_to_credit,10,1.2076945000387695,11.400267499993788,200,baseline
loan_to_credit,11,1.220712999980833,11.539333000001761,200,baseline
loan_to_credit,12,1.2028465000071265,11.376535500005502,200,baseline
loan_to_credit,13,1.2091569999768126,11.50533700001688,200,baseline
loan_to_credit,14,1.1966545000063888,11.389029999975264,200,baseline
loan_to_credit,15,1.1998539999922286,11.454144000026645,200,baseline
loan_to_credit,16,1.1952444999963063,11.4003289999971,200,baseline
loan_to_credit,17,1.2287669999864193,11.533213499973272,200,baseline
loan_to_credit,18,1.2046239999961017,11.45316199998092,200,baseline
loan_to_credit,19,1.2017329999878257,11.305281000034029,200,baseline
loan_to_credit,20,1.2209080000218364,11.447216500016566,200,baseline
loan_to_credit,21,1.2148520000039298,11.479875000020456,200,baseline
loan_to_credit,22,1.2034689999893544,11.539074499978597,200,baseline
loan_to_credit,23,1.2382955000020957,11.48671049998029,200,baseline
loan_to_credit,24,1.2082030000044597,11.489162999993141,200,baseline
loan_to_credit,25,1.1605954999822643,11.379773500010515,200,baseline
loan_to_credit,26,1.2249724999833234,11.430488499968305,200,baseline
loan_to_credit,27,1.170910500007949,11.31717150002487,200,baseline
loan_to_credit,28,1.161127000017359,11.199388499989027,200,baseline
loan_to_credit,29,1.1842890000082207,11.382361000016772,200,baseline
loan_to_credit,30,1.1854390000110016,11.249246000033963,200,baseline
loan_to_customer,1,1.2147464999827662,9.787637500011215,200,baseline
loan_to_customer,2,1.1944105000054606,9.638977499974999,200,baseline
loan_to_customer,3,1.1864595000190548,9.570085500001824,200,baseline
loan_to_customer,4,1.1849990000030175,9.586391499993852,200,baseline
loan_to_customer,5,1.2116485000035482,9.694775999975036,200,baseline
loan_to_customer,6,1.2118324999903507,9.662607500018794,200,baseline
loan_to_customer,7,1.2191999999799918,9.653546999999207,200,baseline
loan_to_customer,8,1.23112599999331,9.834236499983717,200,baseline
loan_to_customer,9,1.1841669999625992,9.621011500001941,200,baseline
loan_to_customer,10,1.1306739999668025,9.230733500004362,200,baseline
loan_to_customer,11,1.1957454999844686,9.619228999980578,200,baseline
loan_to_customer,12,1.1763530000052924,9.564699000009114,200,baseline
loan_to_customer,13,1.1852805000103217,9.606046000016022,200,baseline
loan_to_customer,14,1.1669705000372232,9.531943500007856,200,baseline
loan_to_customer,15,1.2356660000136799,9.898534499967582,200,baseline
loan_to_customer,16,1.1998770000047898,9.572508499985588,200,baseline
loan_to_customer,17,1.309824499998058,10.054842499982897,200,baseline
loan_to_customer,18,1.249258499996131,9.9179515000003,200,baseline
loan_to_customer,19,1.1943885000107457,9.741244499991808,200,baseline
loan_to_customer,20,1.2496149999776662,9.74485300000083,200,baseline
loan_to_customer,21,1.2688989999958267,10.078913000000966,200,baseline
loan_to_customer,22,1.2148460000105388,9.608218000010993,200,baseline
loan_to_customer,23,1.231848499969601,9.759812499993359,200,baseline
loan_to_customer,24,1.1928670000145303,9.525552500008416,200,baseline
loan_to_customer,25,1.1815080000019407,9.528602000017372,200,baseline
loan_to_customer,26,1.1911749999740096,9.555508999966378,200,baseline
loan_to_customer,27,1.2129119999997329,9.855688000016016,200,baseline
loan_to_customer,28,1.1660314999915045,9.41087249998418,200,baseline
loan_to_customer,29,1.1734670000009828,9.378146000017296,200,baseline
loan_to_customer,30,1.1850514999878214,9.509624000003214,200,baseline
loan_to_aml,1,1.243410500023856,11.472209999993765,200,policy_only
loan_to_aml,2,1.2343060000148398,11.555544499998405,200,policy_only
loan_to_aml,3,1.2487074999967263,11.507566500000621,200,policy_only
loan_to_aml,4,1.2399604999870917,11.47819349998258,200,policy_only
loan_to_aml,5,1.2421529999926406,11.223802000017713,200,policy_only
loan_to_aml,6,1.263999499997226,11.494154499985143,200,policy_only
loan_to_aml,7,1.233318499998859,11.412338000013733,200,policy_only
loan_to_aml,8,1.2232034999897223,11.380032999994683,200,policy_only
loan_to_aml,9,1.2485860000026605,11.428708500005769,200,policy_only
loan_to_aml,10,1.2422419999893464,11.440377499980059,200,policy_only
loan_to_aml,11,1.2482325000178207,11.500061000020878,200,policy_only
loan_to_aml,12,1.236829999982092,11.410888999989766,200,policy_only
loan_to_aml,13,1.2292225000294366,11.410323000006883,200,policy_only
loan_to_aml,14,1.2546165000060228,11.437585500004843,200,policy_only
loan_to_aml,15,1.2372244999880877,11.443680500008213,200,policy_only
loan_to_aml,16,1.2176599999804694,11.354021499982991,200,policy_only
loan_to_aml,17,1.2419425000018691,11.52234450000833,200,policy_only
loan_to_aml,18,1.2410320000242336,11.498445000000856,200,policy_only
loan_to_aml,19,1.2406085000122857,11.336165000017218,200,policy_only
loan_to_aml,20,1.2290870000128962,11.40906700004507,200,policy_only
loan_to_aml,21,1.251440499970613,11.471508999960633,200,policy_only
loan_to_aml,22,1.224150000012969,11.350132500012933,200,policy_only
loan_to_aml,23,1.2295410000149332,11.445940499982044,200,policy_only
loan_to_aml,24,1.2523915000031138,11.404537999965214,200,policy_only
loan_to_aml,25,1.2251394999793774,11.321250500003543,200,policy_only
loan_to_aml,26,1.2386199999809833,11.423098499989237,200,policy_only
loan_to_aml,27,1.253730999991376,11.519453500000054,200,policy_only
loan_to_aml,28,1.2493525000252248,11.40994049998767,200,policy_only
loan_to_aml,29,1.2222099999803504,11.396182499993301,200,policy_only
loan_to_aml,30,1.2413780000031238,11.56840600000919,200,policy_only
