mode,round_id,order_position,experiment_run_id,flow,batch_id,request_id,status_code,latency_ms,error
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,1,200,14.115100,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,2,200,14.025500,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,3,200,13.664500,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,4,200,14.074700,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,5,200,13.981400,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,6,200,14.340400,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,7,200,13.930500,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,8,200,14.445400,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,9,200,14.023400,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,10,200,14.985300,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,11,200,14.209600,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,12,200,15.374300,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,13,200,14.963000,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,14,200,15.534300,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,15,200,15.962500,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,16,200,14.276900,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,17,200,14.507400,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,18,200,15.531700,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,19,200,15.380000,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,20,200,13.626200,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,21,200,13.806600,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,22,200,14.331400,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,23,200,15.008000,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,24,200,16.370800,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,25,200,14.814800,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,26,200,14.918800,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,27,200,14.591900,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,28,200,14.362500,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,29,200,14.409100,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,30,200,14.326000,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,31,200,14.393700,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,32,200,14.215000,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,33,200,14.057500,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,34,200,14.324900,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,35,200,13.998500,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,36,200,14.190200,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,37,200,14.604200,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,38,200,14.208500,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,39,200,13.545300,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,40,200,13.750300,
proposed,7,2,perf-proposed-r007-20260818T024621Z,loan_to_customer,1,41,200,14.298300,
