mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-customer-loan_reviewer-loan_screening,approval,customer,loan_reviewer,loan_screening,/customer-profile/CASE-0001,GET,200,allow,14.490300,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-loan-loan_approver-loan_approval,approval,loan,loan_approver,loan_approval,/loan-review/CASE-0001,GET,200,allow,14.421600,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-loan-loan_approver-loan_screening,approval,loan,loan_approver,loan_screening,/loan-review/CASE-0001,GET,200,allow,14.454900,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-loan-loan_reviewer-loan_approval,approval,loan,loan_reviewer,loan_approval,/loan-review/CASE-0001,GET,200,allow,13.983200,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-approval-loan-loan_reviewer-loan_screening,approval,loan,loan_reviewer,loan_screening,/loan-review/CASE-0001,GET,200,allow,14.072200,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-credit-aml-loan_approver-loan_approval,credit,aml,loan_approver,loan_approval,/aml-screening,POST,200,allow,39.599500,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-credit-aml-loan_approver-loan_screening,credit,aml,loan_approver,loan_screening,/aml-screening,POST,200,allow,17.458100,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-credit-aml-loan_reviewer-loan_approval,credit,aml,loan_reviewer,loan_approval,/aml-screening,POST,200,allow,15.885400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-credit-aml-loan_reviewer-loan_screening,credit,aml,loan_reviewer,loan_screening,/aml-screening,POST,200,allow,15.922400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-credit-approval-loan_approver-loan_approval,credit,approval,loan_approver,loan_approval,/approval-requests,POST,200,allow,16.412800,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-credit-approval-loan_approver-loan_screening,credit,approval,loan_approver,loan_screening,/approval-requests,POST,200,allow,15.531400,,allow,baseline_broad_authenticated_access,false
segmentation_only,policyspace-segmentation_only-20260818T020153Z,PS-credit-approval-loan_reviewer-loan_approval,credit,approval,loan_reviewer,loan_approval,/approval-requests,POST,200,allow,18.509200,,allow,baseline_broad_authenticated_access,false
