mode,round_id,order_position,experiment_run_id,flow,batch_id,request_id,status_code,latency_ms,error
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,1,200,15.545000,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,2,200,14.648400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,3,200,14.191400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,4,200,14.584900,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,5,200,14.508000,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,6,200,14.417000,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,7,200,14.488400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,8,200,13.821900,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,9,200,14.392500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,10,200,14.057400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,11,200,14.292000,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,12,200,14.248100,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,13,200,13.985900,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,14,200,14.288200,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,15,200,14.331600,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,16,200,14.079500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,17,200,14.029800,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,18,200,17.586600,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,19,200,14.321800,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,20,200,13.833300,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,21,200,14.141800,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,22,200,14.983400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,23,200,14.898100,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,24,200,16.078600,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,25,200,14.391100,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,26,200,13.831100,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,27,200,14.648100,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,28,200,14.374500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,29,200,14.018500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,30,200,13.919100,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,31,200,15.341600,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,32,200,14.169500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,33,200,14.322700,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,34,200,14.581500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,35,200,14.718700,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,36,200,14.444500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,37,200,14.427400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,38,200,14.156000,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,39,200,14.126500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,40,200,14.031800,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,41,200,13.989400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,42,200,14.520600,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,43,200,14.131000,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,44,200,14.363400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,45,200,14.355900,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,46,200,14.150700,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,47,200,14.778200,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,48,200,14.649900,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,49,200,14.302400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,50,200,14.193500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,51,200,14.722900,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,52,200,14.524400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,53,200,14.527700,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,54,200,14.374900,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,55,200,13.936600,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,56,200,14.242600,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,57,200,15.556200,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,58,200,14.824600,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,59,200,14.938600,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,60,200,15.274400,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,61,200,14.827300,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,62,200,15.023300,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,63,200,14.525100,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,64,200,14.648500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,65,200,14.382500,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,66,200,14.538100,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,67,200,14.442300,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,68,200,14.964100,
proposed,8,1,perf-proposed-r008-20260818T024927Z,loan_to_customer,1,69,200,14.563100,
