mode,source_asset,target_asset,source_business,target_business,source_tier,target_tier,target_port,reachable,attempts,stable,elapsed_ms,error
proposed,aml_app,loan_app,aml,loan,app,app,8000,false,3,true,3966.942,gaierror: [Errno -2] Name or service not known
proposed,aml_app,loan_db,aml,loan,app,db,5432,false,3,true,3967.299,gaierror: [Errno -2] Name or service not known
proposed,aml_app,credit_app,aml,credit,app,app,8000,false,3,true,3970.241,gaierror: [Errno -2] Name or service not known
proposed,aml_app,credit_db,aml,credit,app,db,5432,false,3,true,3970.275,gaierror: [Errno -2] Name or service not known
proposed,aml_app,aml_db,aml,aml,app,db,5432,true,3,true,0.465,
proposed,aml_app,approval_app,aml,approval,app,app,8000,false,3,true,3962.714,gaierror: [Errno -2] Name or service not known
proposed,aml_app,approval_db,aml,approval,app,db,5432,false,3,true,3958.522,gaierror: [Errno -2] Name or service not known
proposed,aml_db,customer_app,aml,customer,db,app,8000,false,3,true,3966.009,gaierror: [Errno -2] Name or service not known
proposed,aml_db,customer_db,aml,customer,db,db,5432,false,3,true,3970.735,gaierror: [Errno -2] Name or service not known
proposed,aml_db,loan_app,aml,loan,db,app,8000,false,3,true,3966.088,gaierror: [Errno -2] Name or service not known
proposed,aml_db,loan_db,aml,loan,db,db,5432,false,3,true,3979.620,gaierror: [Errno -2] Name or service not known
proposed,aml_db,credit_app,aml,credit,db,app,8000,false,3,true,3965.284,gaierror: [Errno -2] Name or service not known
proposed,aml_db,credit_db,aml,credit,db,db,5432,false,3,true,3969.176,gaierror: [Errno -2] Name or service not known
proposed,aml_db,aml_app,aml,aml,db,app,8000,true,3,true,0.549,
proposed,aml_db,approval_app,aml,approval,db,app,8000,false,3,true,3978.926,gaierror: [Errno -2] Name or service not known
proposed,aml_db,approval_db,aml,approval,db,db,5432,false,3,true,3973.653,gaierror: [Errno -2] Name or service not known
proposed,approval_app,customer_app,approval,customer,app,app,8000,false,3,true,3968.285,gaierror: [Errno -2] Name or service not known
proposed,approval_app,customer_db,approval,customer,app,db,5432,false,3,true,3972.285,gaierror: [Errno -2] Name or service not known
proposed,approval_app,loan_app,approval,loan,app,app,8000,false,3,true,3967.932,gaierror: [Errno -2] Name or service not known
proposed,approval_app,loan_db,approval,loan,app,db,5432,false,3,true,3987.933,gaierror: [Errno -2] Name or service not known
proposed,approval_app,credit_app,approval,credit,app,app,8000,false,3,true,3967.055,gaierror: [Errno -2] Name or service not known
proposed,approval_app,credit_db,approval,credit,app,db,5432,false,3,true,3958.672,gaierror: [Errno -2] Name or service not known
proposed,approval_app,aml_app,approval,aml,app,app,8000,false,3,true,3975.888,gaierror: [Errno -2] Name or service not known
proposed,approval_app,aml_db,approval,aml,app,db,5432,false,3,true,3970.742,gaierror: [Errno -2] Name or service not known
proposed,approval_app,approval_db,approval,approval,app,db,5432,true,3,true,0.672,
proposed,approval_db,customer_app,approval,customer,db,app,8000,false,3,true,3974.967,gaierror: [Errno -2] Name or service not known
proposed,approval_db,customer_db,approval,customer,db,db,5432,false,3,true,3973.520,gaierror: [Errno -2] Name or service not known
proposed,approval_db,loan_app,approval,loan,db,app,8000,false,3,true,3973.862,gaierror: [Errno -2] Name or service not known
proposed,approval_db,loan_db,approval,loan,db,db,5432,false,3,true,3974.313,gaierror: [Errno -2] Name or service not known
proposed,approval_db,credit_app,approval,credit,db,app,8000,false,3,true,3961.342,gaierror: [Errno -2] Name or service not known
proposed,approval_db,credit_db,approval,credit,db,db,5432,false,3,true,3978.185,gaierror: [Errno -2] Name or service not known
proposed,approval_db,aml_app,approval,aml,db,app,8000,false,3,true,3976.772,gaierror: [Errno -2] Name or service not known
proposed,approval_db,aml_db,approval,aml,db,db,5432,false,3,true,3965.548,gaierror: [Errno -2] Name or service not known
proposed,approval_db,approval_app,approval,approval,db,app,8000,true,3,true,0.516,
