mode,experiment_run_id,attempt_id,source_business,destination,role,purpose,action,path,method,status_code,actual,latency_ms,error,audit_decision,audit_reason,is_execution_error
proposed,policyspace-proposed-20260819T023031Z,PS-approval-customer-loan_reviewer-loan_screening,approval,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,5.989900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-approval-loan-loan_approver-loan_approval,approval,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,200,allow,16.186900,,allow,role_based_microsegment_policy,false
proposed,policyspace-proposed-20260819T023031Z,PS-approval-loan-loan_approver-loan_screening,approval,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,6.369300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-approval-loan-loan_reviewer-loan_approval,approval,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.162000,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-approval-loan-loan_reviewer-loan_screening,approval,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,6.995100,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-aml-loan_approver-loan_approval,credit,aml,loan_approver,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,33.828700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-aml-loan_approver-loan_screening,credit,aml,loan_approver,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,6.661300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-aml-loan_reviewer-loan_approval,credit,aml,loan_reviewer,loan_approval,request_aml_screening,/aml-screening,POST,403,deny,7.309800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-aml-loan_reviewer-loan_screening,credit,aml,loan_reviewer,loan_screening,request_aml_screening,/aml-screening,POST,403,deny,5.418200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-approval-loan_approver-loan_approval,credit,approval,loan_approver,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,7.215800,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-approval-loan_approver-loan_screening,credit,approval,loan_approver,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,6.029500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-approval-loan_reviewer-loan_approval,credit,approval,loan_reviewer,loan_approval,submit_for_approval,/approval-requests,POST,403,deny,5.834100,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-approval-loan_reviewer-loan_screening,credit,approval,loan_reviewer,loan_screening,submit_for_approval,/approval-requests,POST,403,deny,6.743500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-customer-loan_approver-loan_approval,credit,customer,loan_approver,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,8.073100,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-customer-loan_approver-loan_screening,credit,customer,loan_approver,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,6.646700,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-customer-loan_reviewer-loan_approval,credit,customer,loan_reviewer,loan_approval,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,5.868200,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-customer-loan_reviewer-loan_screening,credit,customer,loan_reviewer,loan_screening,read_customer_profile,/customer-profile/CASE-0001,GET,403,deny,6.442500,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-loan-loan_approver-loan_approval,credit,loan,loan_approver,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.902900,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-loan-loan_approver-loan_screening,credit,loan,loan_approver,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,5.617400,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-loan-loan_reviewer-loan_approval,credit,loan,loan_reviewer,loan_approval,read_review_package,/loan-review/CASE-0001,GET,403,deny,6.912300,,deny,role_purpose_action_mismatch,false
proposed,policyspace-proposed-20260819T023031Z,PS-credit-loan-loan_reviewer-loan_screening,credit,loan,loan_reviewer,loan_screening,read_review_package,/loan-review/CASE-0001,GET,403,deny,10.498900,,deny,role_purpose_action_mismatch,false
